1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
123.4,117.4,120.2,114.1,105.9,126.7,116.7,98.3,102.4,111.8,90.9,101.3,99.7,109.4,116.4,100.4,121.6,116.3,113.6,118.1,106.4,119.6
558.7,562.1,467,489.9,489.1,478.3,487.1,519,496,476.7,452.3,457.5,506.4,485.4,499.2,499.8,470.2,511.6,488.9,477.4,518.6,446.4
159.6,122.1,107.2,118.4,138.5,103.1,109.4,120.6,133.8,129.7,102.3,76,99.1,146.4,146.8,126.4,96.5,68.6,81.6,120.3,132,109.1
12.9,24.5,14.4,22.2,10.9,21.4,20.3,17.4,19.3,19.9,16.4,12.2,10.7,17,10.4,15.9,14.6,13.3,15.2,11.9,17.9,17.9
98,96.6,78,86.8,85.7,70,63.5,73.2,73.8,81.8,81.2,73.9,70.4,90.8,84.1,73.5,81.3,65.5,83.8,69.4,67.8,72.6
25.9,25.4,27.9,30.1,32.3,21.5,40.3,25.5,24.7,18.3,20.8,21.1,22.3,18,35,27.6,21.6,18.8,16.9,21.2,27.2,24.3
16.6,18.3,2.5,17.4,14.3,11,15.7,16.8,12.4,18.3,16.4,18.3,11.9,20,12.9,17.7,14.1,18,10.5,10.9,8,9.6
32.3,34.8,28.9,41.1,43.6,36.6,46.5,35.2,27.5,26.2,28.5,33.6,40.9,38.6,43.1,39.1,33.8,32.8,40.3,51.2,38.3,30.5
6,5.7,1.4,2.9,5,100.9,1.5,1.4,1.8,1.9,8.2,1.8,1.1,0.9,2.2,3,4.9,4.4,5.5,0.8,3,3.5
114.3,132.8,121.5,100.2,91.8,63.4,51.5,79,108.3,135.6,123,114.9,72.6,78.1,106.5,143.7,165.3,118.6,94.1,79.9,95.2,130.3
11.7,23.7,6.7,10.3,11.1,1.7,9.5,6.6,7.9,6.7,7.9,11.3,6,14.7,12,7.8,6.3,3.1,5.1,7,6.1,10.3
200.2,200.7,166.4,242.4,291.2,300,293.2,204.7,257.9,170.4,163,206.5,277,244.9,257.6,233.2,188.4,213.3,260.6,337.6,267.2,281.2
87.1,80,56.8,58,64.6,47.9,49,65.4,56.4,63.2,53.4,36.1,46.3,48.1,68.3,70.4,58.4,46.6,41.9,57.6,70.9,72.6
1.9,1.4,4.1,7.8,10.6,2,5.7,1.2,1.8,1.7,3.1,2.7,1.9,1.5,1.6,1.1,3,0.8,6.8,2.1,2.4,1.2
21.4,27.7,13.8,14.8,10.1,20.4,15.6,6.9,12.5,10,20.6,22.5,17,15.1,10.4,16.3,19.1,18.9,20.3,13.1,15.9,10.7
43.5,47.7,36.8,43.6,48.5,45.9,44.5,37.2,46,45.3,38.2,34.3,42.2,39.7,40.4,42.7,32.6,43.2,45.3,45.2,44.8,37.8
24.1,27.7,21.5,22.6,13.2,5.5,18.8,18.9,23.7,20.1,22.2,14.7,23.1,29.3,25.3,23.1,18.8,19.6,25.1,27.1,23.4,20.6
2.2,12.1,10.9,9.2,2,10.4,10.2,8.4,9.2,9.4,9.5,2.3,1.6,10.5,11.4,7.2,3.2,5.9,4.9,1.1,3.7,6.4
16.4,2.8,5.8,19.2,12.3,2,8.7,34.6,2.9,8.7,7,13.3,17.3,26.9,20.2,2.1,8.4,20.6,38,19.3,4.6,9.6
715.4,786,808.9,872.2,813.2,3176.8,2376.9,673.1,558.5,749.9,952.3,949.1,1095.6,864.5,1027.4,841.5,856.3,896.5,939.7,923.9,764.9,812.1
2.7,3.9,2.8,4.3,2.4,2.9,0.2,2,0.2,2.9,4,1.2,3.1,1.6,1.1,0.6,3.7,5.4,2,3.4,0.7,0.6
274.3,308.1,305.7,343.4,336.6,377.4,393.2,275.9,277.4,235.8,265.6,292.8,359.9,304.6,219.8,239.4,263,288.7,357.5,346.3,319.8,242.9
199.9,234.1,221.9,215.3,202.7,445.9,502.5,228.7,224.1,240.9,259.6,249.1,233.2,205.8,217.6,248.2,252.1,254.8,238.1,246.8,256.2,254.9
30.7,17.1,26.2,30.9,26,20.4,31.7,21,17.7,19.7,17.5,14.5,15.7,28.7,18.9,12.8,24.3,26.5,28.4,27.2,18.3,28.1
61.1,64,45.4,48.3,43.8,24.2,41.3,47.9,40.2,40.8,40.4,44.3,45.6,45.5,41.8,45.9,44.2,44.4,48.4,48.1,45.8,38.1
86.9,78.3,124.8,118.9,88.8,66.7,31.7,74,100.4,113.3,106.1,84,78.8,74.5,77,81,106.7,86.2,86.3,79.3,78.8,94.8
12.8,15.8,23.6,20.2,17.9,12.1,17.7,12.9,23.7,14.4,29,15,12.7,11.5,9.7,15.1,28.7,20.5,19.3,13.6,23.5,21.3
129.1,161.5,119.6,147.1,140.6,131,102,136.5,149.3,131.9,149.7,120.2,125.8,126.4,150.4,148.4,141.7,143.4,152.6,133.2,150.5,150.3
86.2,66.2,38.3,35.7,65.1,74.7,145.5,137.1,124.5,93.4,53.5,20.8,43.7,97.2,107.4,101.5,50.1,30.9,37.9,52.6,93.3,84.4
290.1,300,318.3,317.6,306.5,268.4,292.1,265.5,281.2,303.3,322.2,298.5,282.7,301.7,300.7,281.9,289.4,300.6,313.7,311.8,309.3,332.6
91.5,99.2,104.1,99,93.9,78.1,80.2,94.3,71.7,89.9,95.1,84.7,77.2,76.3,83.2,88.4,92.8,85.5,95.9,75.9,78,91
